CGPA,Attendance,Internships,Projects,DSA_Score,Communication_Score,Certifications,Aptitude_Score,Placement,Package_LPA
8.36,66.9,0,3,92.4,60.0,1,47.7,1,10.51
6.51,64.8,1,1,78.8,56.6,3,52.0,0,
8.53,94.3,0,1,87.3,52.1,5,71.3,1,11.62
8.18,82.6,2,4,73.6,89.3,5,60.6,1,10.59
9.73,95.4,2,3,98.5,92.0,8,71.3,1,13.44
8.84,76.5,1,4,85.0,58.8,2,88.9,1,11.9
7.49,69.2,0,5,84.3,80.0,5,48.6,1,10.83
6.29,98.1,0,1,68.7,53.6,5,59.2,0,
7.16,80.7,3,5,87.2,65.3,4,68.1,1,9.91
9.11,63.8,2,5,100.0,88.5,2,64.8,1,15.07
7.56,69.2,1,2,61.4,53.1,6,58.3,1,9.3
6.03,66.4,2,0,44.9,63.2,5,48.3,0,
8.89,70.5,1,2,100.0,50.6,3,54.2,1,8.35
6.37,69.6,1,5,64.6,57.3,4,61.1,0,
9.17,83.8,2,3,93.0,63.0,1,59.2,1,13.1
6.5,84.4,1,4,64.6,55.1,7,65.5,0,
8.59,78.4,1,1,77.2,72.5,3,53.4,1,10.36
5.8,59.6,0,3,57.9,56.8,6,56.4,0,
5.5,82.8,0,3,54.5,55.0,4,64.4,0,
7.53,62.7,0,2,73.9,72.4,7,55.9,0,
9.49,79.7,0,5,99.4,59.7,7,68.0,1,11.54
7.71,78.6,1,2,84.5,60.0,3,69.2,1,9.33
6.46,55.0,2,1,68.2,55.0,0,71.1,0,
8.63,68.5,2,2,66.5,54.4,8,56.3,1,11.54
7.69,72.8,0,5,68.1,50.4,3,63.7,1,9.8
9.37,91.3,1,2,100.0,65.4,4,59.6,1,13.54
5.88,68.0,1,4,48.3,64.5,7,58.4,1,8.85
5.89,59.6,0,5,73.8,58.3,1,58.1,1,9.23
6.64,69.0,2,2,44.8,67.0,5,78.1,1,8.57
6.88,79.4,0,2,74.7,72.0,1,41.0,1,8.17
6.85,98.9,0,0,67.1,80.4,1,27.7,0,
7.27,85.7,0,2,80.4,80.0,8,54.0,1,8.68
9.26,93.9,0,0,71.7,74.1,0,83.8,1,11.13
5.57,90.5,0,0,35.9,50.1,2,52.7,0,
5.76,59.1,1,5,78.8,62.8,2,50.6,0,
5.6,65.5,3,5,68.1,38.5,7,56.1,1,7.26
6.2,56.8,1,4,81.8,56.1,3,76.6,0,
6.55,76.1,2,4,64.7,74.2,1,52.4,1,9.05
8.93,79.4,1,5,71.0,71.1,0,61.4,1,11.06
5.3,98.5,2,1,45.9,44.4,8,53.1,0,
6.97,69.5,0,5,84.9,83.0,2,71.2,1,10.26
5.51,63.6,0,5,75.6,44.2,8,44.6,0,
5.24,64.9,1,0,57.1,53.8,7,75.4,0,
7.25,83.8,1,5,90.3,60.7,5,64.1,1,9.49
8.52,92.6,0,1,65.8,74.9,3,66.8,1,9.47
7.53,66.2,1,1,54.4,61.1,1,65.7,0,
8.24,86.6,1,0,74.5,75.0,6,49.4,1,8.2
9.48,95.6,1,2,81.9,80.3,6,61.7,1,11.08
6.16,79.6,1,4,76.3,56.9,7,47.2,1,8.08
7.86,78.3,3,2,40.2,99.1,3,66.9,1,9.85
8.95,86.0,0,4,72.1,70.8,2,80.9,1,11.66
9.27,66.2,0,2,91.7,82.4,3,77.7,1,9.81
8.81,62.8,2,5,83.2,51.8,1,60.9,1,12.1
5.38,57.5,2,2,41.0,66.1,1,46.7,0,
8.13,82.1,0,5,78.6,61.6,0,73.4,1,12.07
6.57,86.4,0,5,72.6,51.4,7,60.6,1,9.74
8.77,61.7,0,3,90.2,67.9,6,67.4,1,12.44
7.09,86.4,2,3,58.7,59.7,3,25.0,1,8.26
6.28,74.4,1,4,67.6,75.0,6,68.7,1,9.27
6.65,84.5,2,1,79.1,61.4,7,51.4,1,9.6
8.29,62.0,1,0,67.0,72.0,2,69.8,1,7.9
5.07,86.2,0,3,46.9,58.1,8,57.9,0,
8.6,79.7,1,1,70.2,55.0,6,53.0,1,10.72
6.36,90.5,1,0,59.5,35.6,1,65.8,0,
9.09,84.7,2,0,82.8,66.3,6,94.4,1,12.45
9.69,59.5,0,4,85.3,73.4,8,87.8,1,12.33
9.43,68.7,1,5,90.7,79.3,5,81.0,1,13.97
9.78,99.0,0,0,64.1,59.1,0,100.0,1,10.52
6.89,61.2,1,4,84.1,78.2,3,57.5,1,10.73
7.05,69.1,1,3,63.5,62.2,2,46.3,1,9.05
8.3,95.4,2,3,86.4,99.2,2,66.3,1,10.69
5.76,58.1,1,5,76.0,65.6,2,54.1,0,
9.22,73.6,1,3,85.9,52.5,4,75.4,1,11.96
9.73,82.8,1,4,95.1,75.9,0,81.6,1,14.7
7.29,77.6,1,5,74.5,59.5,6,56.6,1,10.16
8.67,55.7,0,3,85.6,73.5,3,86.3,1,10.61
9.45,99.4,2,3,79.0,53.4,3,53.1,1,10.5
8.46,72.7,2,4,70.2,58.7,0,59.7,1,11.1
8.97,56.9,3,4,54.3,64.4,0,56.4,1,11.52
6.4,72.9,0,2,61.0,50.4,0,62.6,0,
7.23,84.1,0,4,51.5,79.4,8,76.5,1,9.67
7.16,63.0,1,5,97.8,50.8,1,62.6,1,12.39
8.45,60.6,0,3,69.4,66.7,6,64.0,1,6.92
7.94,62.2,1,0,71.6,43.7,2,69.3,1,8.95
6.48,87.9,3,2,60.5,58.1,2,55.6,1,8.67
8.67,55.5,1,3,81.4,70.4,7,69.9,1,10.09
5.38,82.0,0,4,64.5,54.8,3,72.1,0,
8.14,56.7,2,5,87.0,55.4,5,58.9,1,11.59
7.0,63.0,1,4,64.1,49.5,8,67.8,1,6.49
5.45,68.5,1,3,46.9,65.7,8,37.5,0,
5.59,93.7,0,3,66.5,41.6,0,53.5,1,7.9
8.02,99.4,1,5,67.4,56.2,4,45.2,1,10.43
7.99,96.7,1,3,93.6,52.5,7,63.9,1,8.43
6.12,68.1,0,0,72.5,62.8,1,57.8,0,
7.95,73.7,0,2,58.8,62.0,0,54.1,0,
6.22,58.1,0,4,67.9,62.0,5,48.4,1,7.77
5.84,69.9,0,5,66.9,47.0,0,59.1,0,
8.01,95.1,1,2,64.2,48.4,0,71.2,1,8.51
8.48,69.2,1,1,65.8,65.3,5,74.2,1,10.48
6.8,79.0,0,4,63.4,51.8,4,71.5,1,7.28
5.15,73.6,1,1,36.4,71.5,4,56.7,0,
5.54,90.3,2,0,49.2,59.0,7,61.9,0,
6.63,76.8,2,2,66.5,56.5,1,72.9,0,
8.25,61.0,1,3,61.5,83.3,1,94.8,1,9.74
5.42,76.0,0,4,48.1,59.5,0,35.9,0,
9.28,69.4,0,2,79.1,54.6,1,67.0,1,11.58
5.55,98.1,1,0,54.9,68.0,5,52.4,1,6.69
5.82,69.0,2,4,51.0,53.8,7,59.5,1,7.53
6.84,58.9,1,5,62.6,55.0,7,53.6,1,9.88
8.22,79.0,3,3,62.3,64.5,7,64.7,1,11.57
8.09,89.5,1,1,88.4,86.7,4,76.6,1,10.04
8.79,94.7,1,0,57.7,76.1,7,71.5,1,9.97
8.69,82.2,0,0,58.1,80.5,1,60.8,1,9.71
6.92,73.6,1,4,59.2,70.5,1,73.3,1,10.85
7.84,90.3,1,2,65.4,65.1,1,64.1,1,9.8
7.86,69.6,0,3,72.0,79.7,1,92.3,1,8.76
7.86,91.9,0,5,80.2,63.4,2,85.1,1,10.45
5.7,61.7,1,3,61.7,49.8,3,48.1,0,
7.74,96.1,0,3,66.7,62.0,1,38.9,1,8.42
7.45,93.1,2,0,54.8,76.0,0,79.2,1,9.3
6.35,56.4,1,4,68.7,53.8,6,65.9,0,
6.01,62.8,0,4,74.2,41.3,6,76.1,1,11.1
8.22,61.0,0,0,86.0,86.9,6,73.3,1,11.31
9.13,95.2,1,3,100.0,63.9,6,61.3,1,11.92
6.71,63.4,1,4,52.5,63.0,8,57.5,1,8.15
5.18,76.7,1,4,59.8,40.0,2,56.8,0,
9.12,88.8,0,4,74.3,92.9,1,82.4,1,13.41
8.19,85.1,1,4,85.4,59.7,0,79.0,1,12.4
9.35,80.8,0,2,85.3,92.5,4,66.1,1,13.35
7.87,68.7,2,2,86.7,72.2,2,49.7,1,10.32
5.13,76.8,0,0,67.9,61.8,2,46.7,0,
6.23,88.4,1,4,62.2,59.8,5,41.4,1,7.34
8.36,76.8,2,0,68.7,73.3,2,49.1,1,11.18
6.98,72.2,1,5,59.8,59.0,5,55.6,1,9.52
8.93,57.4,1,3,78.2,89.0,8,71.6,1,11.03
7.55,74.6,0,3,80.8,59.1,8,71.3,1,9.18
9.41,83.7,3,3,74.5,63.4,4,66.8,1,14.07
6.88,89.8,1,5,86.3,54.6,8,43.4,1,11.53
5.86,79.6,1,0,59.4,59.8,1,53.0,0,
8.48,66.3,0,4,100.0,84.1,3,84.2,1,11.66
9.11,60.8,1,5,85.9,46.1,1,57.8,1,11.3
7.24,97.1,1,2,71.9,48.2,5,62.0,1,8.77
6.87,99.8,0,2,71.3,65.3,3,65.6,1,7.76
7.36,61.5,2,1,63.2,62.0,7,62.2,1,10.42
6.2,75.1,2,1,66.3,60.5,0,58.4,0,
8.36,95.7,1,4,75.4,64.5,7,47.6,1,11.89
8.75,90.3,1,0,60.5,82.2,7,79.8,1,11.02
6.45,57.5,3,5,72.6,73.3,5,67.8,1,10.86
8.68,84.2,0,0,91.0,67.4,4,60.2,1,9.49
5.41,83.5,1,1,45.6,60.1,3,56.2,0,
7.59,68.8,1,3,75.4,68.3,5,63.9,1,10.66
5.21,60.3,2,5,36.3,53.1,8,64.2,1,7.18
5.68,84.4,1,4,63.3,75.1,2,62.0,1,8.06
9.34,91.9,0,4,98.0,86.3,1,83.5,1,12.36
5.97,70.2,2,5,66.9,55.6,8,48.3,1,10.53
8.81,89.4,1,2,89.5,74.6,6,74.9,1,11.96
7.79,61.0,2,5,90.2,52.7,0,51.7,1,11.14
5.03,96.7,1,4,69.6,48.7,7,51.2,0,
8.07,78.5,1,1,69.9,66.3,2,62.9,1,11.53
6.45,73.8,1,1,72.9,71.8,1,69.7,0,
9.74,77.8,1,5,79.9,70.2,3,64.8,1,13.42
9.05,96.0,1,1,77.6,69.3,5,67.4,1,9.86
8.64,56.9,1,4,100.0,79.2,7,87.4,1,12.32
6.13,75.0,1,3,70.6,76.2,5,59.2,1,8.47
6.98,64.0,2,0,70.6,51.5,6,64.4,1,10.6
7.18,72.4,0,5,82.1,74.5,4,64.6,1,9.83
5.66,93.3,1,1,51.7,59.1,4,48.2,0,
8.06,82.5,0,4,68.6,71.1,8,62.2,1,10.35
7.84,92.7,0,5,61.0,77.1,3,58.0,1,11.22
5.72,80.8,0,0,42.9,70.9,8,60.3,0,
7.3,90.9,2,3,76.2,60.6,0,63.3,1,8.84
6.05,71.1,0,0,73.1,61.8,2,51.3,0,
8.59,56.1,1,1,84.7,62.4,5,55.3,1,12.31
6.85,86.1,1,2,67.1,55.6,8,65.7,1,8.0
8.29,82.9,0,0,44.8,66.9,5,71.6,1,7.12
6.75,62.9,1,0,72.7,45.4,2,53.3,0,
5.55,76.5,2,4,62.8,70.0,3,42.7,0,
7.42,74.0,0,2,94.1,58.5,8,75.1,1,8.32
7.55,92.1,2,3,59.2,52.6,1,73.6,1,10.56
5.86,98.1,0,1,63.2,56.7,7,75.7,1,7.12
9.57,56.0,1,5,88.8,72.8,5,55.1,1,13.92
5.11,91.1,2,4,61.8,49.5,5,44.7,0,
7.33,85.0,1,4,58.8,56.5,2,66.8,1,8.59
8.79,65.2,1,2,81.0,67.8,5,62.7,1,10.56
7.57,63.2,0,5,76.2,60.6,2,47.6,1,10.48
9.77,80.9,1,2,93.6,88.0,0,56.3,1,13.64
9.68,79.0,0,0,91.2,64.0,2,80.7,1,10.38
5.75,98.7,1,4,56.1,74.0,7,82.2,1,7.81
8.2,91.0,1,3,41.0,66.0,7,71.8,1,8.95
7.64,68.9,1,1,64.5,68.2,0,58.4,1,6.94
8.68,63.8,0,3,79.3,58.5,8,41.7,1,11.48
7.9,78.0,0,5,78.9,72.4,6,57.7,1,10.35
9.69,94.3,0,5,100.0,88.5,6,60.0,1,12.52
8.87,98.7,1,3,94.3,82.7,1,75.8,1,13.62
6.61,97.0,1,3,67.2,72.0,4,66.9,1,9.45
8.41,89.0,0,1,79.8,61.7,7,89.3,1,10.32
7.68,75.9,0,0,58.0,72.0,7,73.1,1,9.37
6.38,63.1,2,5,72.9,67.1,4,27.7,1,8.68
7.31,74.6,0,5,72.5,48.5,1,66.0,1,10.78
5.08,66.7,1,1,41.1,76.8,2,51.8,0,
6.73,83.6,3,0,56.5,76.0,1,40.5,1,8.7
8.61,79.5,2,5,93.2,73.1,5,59.4,1,13.64
8.95,55.6,1,2,83.9,60.6,2,75.4,1,11.38
9.31,82.6,2,4,97.8,83.1,1,55.6,1,14.82
5.56,60.9,0,2,53.6,67.9,7,68.7,0,
8.67,70.4,1,0,73.5,65.2,2,72.8,1,10.15
5.63,58.5,1,0,58.6,75.3,6,66.2,0,
8.81,78.1,0,0,76.2,74.0,4,67.3,1,8.23
8.76,96.4,0,1,81.8,80.4,1,81.2,1,10.25
6.69,93.5,2,4,87.4,63.5,1,76.3,1,8.24
7.54,87.2,3,1,80.9,58.3,1,88.2,1,11.03
8.35,63.3,1,0,60.5,73.7,6,77.6,1,10.05
6.96,89.3,0,3,75.7,67.6,5,57.5,1,9.86
5.56,67.8,1,2,60.6,50.1,3,35.0,0,
9.11,63.5,0,3,82.5,82.2,0,66.2,1,11.52
5.5,74.7,1,0,60.3,65.5,1,54.6,0,
5.81,71.4,0,1,26.3,40.3,1,58.6,0,
7.4,89.4,2,4,73.8,84.8,6,52.6,1,14.06
7.45,61.6,1,0,54.2,65.7,2,77.9,1,8.47
8.99,77.4,0,1,65.5,83.1,2,64.5,1,10.34
7.5,77.1,1,2,53.9,59.3,4,52.1,0,
7.59,55.8,2,3,69.4,70.4,7,60.2,1,11.28
7.21,56.5,1,2,74.9,60.5,6,75.5,1,8.52
8.24,84.7,1,4,83.1,55.1,2,69.9,1,10.94
7.37,98.7,1,2,71.6,56.5,0,67.1,1,9.67
8.56,56.2,2,2,69.4,61.7,5,76.9,1,11.01
6.17,65.6,0,0,59.9,58.5,4,64.2,0,
7.58,56.7,1,3,51.6,56.5,4,77.7,1,9.95
7.74,69.5,0,3,77.6,80.3,5,75.5,1,9.94
8.2,62.5,0,3,84.5,83.7,1,74.8,1,10.59
9.78,73.1,0,5,100.0,92.0,1,68.1,1,13.08
7.72,78.9,1,2,78.0,51.6,4,54.8,1,9.07
6.99,66.3,1,5,68.0,64.5,0,54.4,1,8.55
5.9,77.5,1,5,78.1,56.3,8,66.1,0,
9.35,97.1,1,0,67.1,71.9,2,72.6,1,10.87
6.97,93.7,2,5,53.8,67.1,4,73.7,1,8.82
7.89,73.3,0,1,92.3,71.0,4,50.6,1,8.24
5.18,62.2,0,2,62.0,58.9,8,45.3,0,
9.63,76.9,0,0,100.0,70.9,1,81.8,1,10.91
6.74,84.6,0,5,80.0,56.2,8,74.3,1,10.57
9.47,66.3,2,1,56.5,58.5,5,59.7,1,12.35
6.87,88.7,0,3,71.2,68.6,3,74.2,1,8.54
7.35,71.9,2,2,86.5,53.4,3,59.5,1,9.43
9.5,71.3,1,2,100.0,77.8,0,81.6,1,14.35
8.79,65.8,1,2,73.9,60.2,1,54.9,1,10.53
7.12,55.4,3,2,60.0,89.0,3,55.5,1,10.5
6.52,91.6,1,0,69.5,61.4,7,64.9,0,
9.04,87.3,2,0,78.5,79.8,8,53.6,1,11.79
8.5,79.6,0,5,91.4,70.6,2,53.5,1,12.43
8.02,69.1,0,1,81.3,68.1,2,85.1,1,8.04
8.8,69.4,1,5,94.6,76.3,5,71.6,1,11.94
9.21,97.5,2,1,84.4,75.2,8,71.2,1,10.56
9.35,98.8,0,5,95.7,70.6,6,65.9,1,13.38
7.72,55.6,1,3,74.1,72.9,3,52.5,1,9.33
9.14,90.2,0,3,76.6,80.4,3,38.8,1,10.96
7.01,73.4,0,2,85.7,72.0,7,60.7,1,8.36
8.28,75.6,0,1,96.4,47.6,6,59.8,1,9.53
6.23,59.3,0,2,43.7,72.2,5,53.2,1,6.65
9.64,81.9,1,0,94.7,75.0,6,68.7,1,9.79
7.69,81.1,0,4,100.0,56.8,7,65.3,1,11.35
7.55,61.4,0,0,79.8,64.5,4,63.8,0,
6.36,94.5,1,2,50.8,60.2,2,43.9,1,7.42
9.09,84.6,2,0,69.8,73.7,2,74.1,1,11.15
8.39,74.6,3,3,91.6,72.2,8,53.6,1,13.66
5.59,59.2,2,1,35.3,67.7,4,39.2,0,
6.02,99.9,0,4,60.3,70.5,3,82.5,1,5.85
9.26,56.2,1,5,100.0,80.4,1,74.6,1,15.3
8.17,75.4,3,4,93.2,63.3,0,57.7,1,9.84
6.56,87.9,1,4,87.4,78.2,4,58.4,1,12.39
6.83,72.9,0,3,82.5,81.5,2,73.8,1,9.92
8.11,97.9,0,2,63.0,69.1,4,79.9,1,8.97
6.76,64.0,1,3,73.5,49.0,6,63.3,1,9.38
6.77,63.4,1,0,71.0,65.6,7,53.4,0,
8.43,96.9,1,5,77.2,68.3,6,86.7,1,10.4
8.28,68.5,0,3,100.0,68.2,1,70.7,1,10.35
7.45,73.6,1,5,71.8,62.3,4,46.2,1,12.13
7.22,90.4,2,0,65.6,84.4,4,75.2,1,10.77
8.64,75.2,2,2,100.0,65.9,2,69.7,1,12.93
8.23,74.5,0,3,78.6,73.9,7,71.8,1,10.65
8.16,88.5,1,2,52.3,48.5,5,55.4,0,
8.24,91.2,0,1,79.5,69.4,0,64.4,1,11.08
5.7,65.9,2,4,67.2,62.2,7,66.3,1,9.33
5.56,95.6,1,3,74.1,55.4,7,49.3,1,5.5
5.24,55.4,1,5,55.1,46.6,7,60.1,0,
7.66,68.1,1,3,59.5,49.0,7,63.0,1,9.58
5.09,80.9,1,2,64.4,49.2,7,66.8,0,
8.1,75.2,1,1,70.8,75.4,5,53.2,1,8.26
9.42,93.4,1,3,78.4,79.9,6,79.0,1,11.57
8.23,88.1,2,1,66.6,62.7,1,63.8,1,10.57
5.48,73.7,3,2,72.9,59.3,0,71.2,0,
8.25,62.9,2,4,90.0,72.9,6,67.9,1,12.52
7.7,76.9,3,2,75.4,48.1,8,64.0,1,9.81
8.21,86.8,2,3,66.0,77.4,1,37.5,1,10.51
7.93,93.6,0,4,86.0,69.1,1,83.9,1,11.07
7.12,77.8,1,0,71.2,70.4,2,71.9,1,8.99
9.65,89.6,0,3,81.8,85.6,1,70.7,1,10.67
6.18,88.9,1,1,67.9,68.3,6,68.4,1,5.82
7.48,85.7,2,3,75.4,67.2,8,68.7,1,8.9
5.79,57.8,2,5,99.8,64.7,0,53.9,1,9.42
8.84,94.4,3,3,69.1,81.0,8,82.8,1,11.69
8.97,95.5,1,1,88.9,68.2,3,57.5,1,10.16
7.97,74.9,0,5,77.2,72.0,4,78.7,1,9.13
9.22,78.4,1,1,92.7,84.5,8,79.3,1,13.33
5.11,95.1,1,2,55.9,75.4,6,60.2,0,
5.29,71.8,1,2,70.4,70.1,1,40.3,0,
5.03,70.3,0,5,78.7,55.1,8,59.0,0,
6.44,85.0,2,4,61.2,46.4,8,59.3,1,7.87
8.74,75.4,0,3,82.4,73.1,0,64.6,1,11.3
6.03,58.5,1,3,51.9,53.1,6,69.2,0,
8.06,99.8,1,3,77.0,56.9,2,70.1,1,10.16
8.38,93.8,0,1,68.5,66.8,2,68.4,1,9.05
9.57,82.1,1,0,73.2,80.9,8,78.9,1,12.24
7.33,90.6,0,4,75.7,42.5,4,76.6,1,8.6
8.93,77.0,0,2,84.8,73.1,7,55.8,1,12.69
7.28,87.4,1,1,54.7,52.9,7,62.7,1,7.46
8.49,59.0,1,4,77.1,74.3,6,66.0,1,10.71
6.33,59.0,0,0,45.9,43.7,4,50.0,0,
7.68,63.7,1,4,76.5,68.0,8,34.6,1,11.63
9.3,60.4,2,1,90.5,71.1,3,71.8,1,13.14
8.87,82.3,1,0,66.7,45.9,5,71.0,1,10.22
9.13,69.3,0,0,91.8,70.8,4,76.2,1,11.68
6.95,62.6,1,2,73.1,71.1,4,79.0,1,9.59
6.98,69.6,1,0,70.3,66.5,3,41.9,1,7.74
5.29,75.9,1,3,63.0,72.5,0,58.2,0,
8.24,66.1,1,1,100.0,65.2,1,78.5,1,9.67
8.76,61.4,1,1,80.3,57.7,6,83.9,1,12.69
9.61,82.9,1,1,89.0,100.0,7,72.5,1,13.31
8.26,100.0,2,1,61.5,62.3,0,74.9,1,10.38
8.35,92.4,1,2,79.7,74.9,8,61.7,1,10.4
8.27,70.4,0,5,77.3,71.5,5,59.8,1,10.74
8.32,84.1,0,3,79.0,70.8,2,67.3,1,11.74
8.38,89.3,1,5,78.0,58.4,7,62.3,1,12.17
6.72,63.0,2,5,54.3,68.5,5,60.3,1,8.83
6.06,55.9,0,5,67.2,64.0,4,61.3,0,
9.7,98.5,0,3,100.0,65.1,3,100.0,1,12.14
6.33,77.5,0,1,55.9,53.7,2,46.2,0,
5.31,66.7,1,1,55.7,70.3,4,42.1,0,
9.76,86.2,1,2,100.0,65.4,0,50.5,1,12.08
9.53,57.3,2,3,95.6,64.8,1,66.4,1,11.77
9.24,65.1,0,3,100.0,63.6,6,68.8,1,12.47
7.74,56.1,1,5,78.0,69.0,3,68.5,1,12.34
5.13,74.4,0,5,70.4,75.9,3,45.4,1,7.99
6.64,57.4,0,1,81.9,56.0,7,62.0,0,
7.78,58.8,0,0,49.4,83.2,1,66.0,0,
8.85,57.5,1,3,100.0,78.0,8,91.5,1,10.91
6.97,93.9,2,4,83.4,74.7,6,62.7,1,9.27
6.63,97.2,2,3,52.5,60.9,1,73.4,1,10.39
5.93,80.8,1,2,69.2,52.0,7,68.6,1,8.03
5.21,60.7,1,4,80.9,52.2,4,41.9,0,
5.7,76.1,1,2,57.9,59.8,2,70.2,0,
9.01,93.6,1,1,96.0,69.7,3,72.5,1,10.65
9.71,82.0,0,4,76.9,65.7,4,68.5,1,12.37
7.18,90.5,0,1,81.3,57.2,3,54.6,1,6.46
8.91,91.3,1,3,86.8,85.0,5,100.0,1,12.04
7.66,61.4,1,5,64.1,57.0,0,72.5,1,9.86
6.26,62.8,2,1,68.1,62.0,4,61.3,1,7.9
8.25,72.1,2,0,66.4,75.4,7,68.4,1,8.45
9.69,99.9,2,5,71.6,80.4,2,75.4,1,12.48
6.82,71.8,1,5,75.9,66.7,3,67.4,1,10.26
8.02,67.6,0,4,88.4,90.5,3,61.1,1,8.94
8.8,82.7,0,3,83.7,55.4,8,59.0,1,11.67
7.52,76.7,3,3,91.7,64.8,0,76.1,1,13.73
7.17,65.5,0,3,84.1,55.5,5,62.5,1,9.16
7.49,65.4,0,4,67.4,57.6,7,55.2,1,9.71
7.39,67.3,0,3,75.5,81.3,5,71.7,1,7.96
5.38,67.4,0,0,50.5,60.3,3,57.0,0,
6.2,88.5,2,2,78.0,66.3,2,74.0,1,8.66
8.55,96.1,0,2,76.6,80.1,6,89.2,1,10.42
8.14,99.5,3,3,77.1,71.0,3,85.6,1,11.74
8.77,89.1,1,3,80.6,75.0,3,43.3,1,10.33
9.09,56.4,0,1,86.0,66.2,7,88.8,1,8.68
6.63,73.9,1,3,69.9,45.7,4,59.3,1,8.99
5.74,97.9,0,5,41.7,66.4,6,31.7,1,6.83
6.88,79.1,0,0,46.6,88.3,4,66.2,1,6.84
8.31,77.0,0,0,70.2,78.5,3,61.0,1,11.06
5.34,57.6,1,1,41.2,78.7,6,58.6,0,
7.57,76.5,0,1,74.6,71.7,6,71.6,1,9.74
6.49,64.1,1,3,80.6,61.7,2,61.4,0,
7.9,66.1,0,4,87.8,76.5,0,56.4,1,9.68
9.23,75.5,1,5,95.8,62.3,2,64.4,1,11.94
6.85,84.7,1,0,52.3,42.6,3,79.4,1,6.6
9.24,79.2,1,0,71.5,56.3,3,81.3,1,10.49
6.77,89.0,1,2,60.3,57.5,3,64.9,0,
5.35,86.3,1,3,58.9,51.2,3,65.5,0,
5.55,96.3,0,5,67.9,46.3,1,59.2,0,
9.56,61.3,2,1,80.2,75.2,1,74.3,1,12.68
8.56,62.6,1,0,69.9,64.5,5,76.6,1,10.96
7.12,57.1,1,4,65.6,53.4,1,47.7,1,9.83
5.25,55.2,2,1,63.2,52.4,3,55.7,0,
5.13,55.7,2,5,59.8,49.7,1,61.1,0,
5.81,62.5,1,0,57.9,50.3,3,37.4,0,
6.9,74.3,0,0,56.7,68.9,6,60.5,0,
6.02,64.9,1,2,54.4,51.5,1,67.4,0,
8.68,77.5,3,5,53.1,63.2,2,68.7,1,10.96
6.87,96.6,2,1,79.2,55.8,5,76.3,1,8.73
5.32,55.8,2,3,46.6,67.9,3,36.5,0,
5.06,56.0,2,0,41.3,73.0,3,51.2,0,
6.8,68.3,0,1,58.0,56.9,7,60.5,0,
6.34,84.0,2,4,72.6,50.4,4,59.4,1,8.89
5.99,57.4,2,1,47.0,65.4,3,40.4,0,
6.54,74.9,0,3,60.4,68.7,2,63.5,1,7.63
5.83,79.7,2,1,57.2,63.7,7,50.1,1,7.25
6.2,67.8,1,5,78.9,67.4,7,81.6,1,10.73
6.91,62.5,1,4,63.5,56.2,2,70.7,0,
5.1,72.2,2,2,49.0,52.8,2,53.8,0,
7.18,71.9,1,0,53.8,79.8,3,67.1,1,9.43
8.48,77.1,2,3,82.5,80.4,7,65.8,1,15.07
5.34,94.8,3,0,38.8,66.8,3,57.8,0,
8.7,88.8,0,5,70.6,72.0,0,52.8,1,11.06
5.17,91.6,1,5,55.3,72.7,2,57.8,1,8.67
8.27,66.4,1,5,86.9,67.6,1,50.6,1,10.36
9.32,78.3,0,3,96.8,79.1,4,82.2,1,12.2
9.26,81.4,1,5,96.8,69.2,5,74.8,1,13.55
8.36,55.3,0,3,99.8,73.6,6,67.5,1,10.95
8.52,62.7,1,5,96.8,79.6,8,80.5,1,12.73
5.28,63.2,2,2,48.9,79.3,7,52.5,0,
9.17,62.5,0,3,74.2,75.5,0,73.8,1,10.51
8.23,59.5,0,0,59.9,52.2,0,78.9,1,10.1
9.74,89.3,2,3,90.9,75.6,5,56.6,1,15.12
9.8,91.8,2,5,83.4,84.2,5,88.4,1,16.25
6.93,92.6,2,0,62.0,45.9,4,47.3,1,7.38
6.19,75.3,1,3,47.8,59.2,0,88.8,0,
8.9,55.7,1,0,94.5,68.2,7,71.0,1,10.93
6.67,97.3,2,3,47.4,84.3,1,58.7,1,7.68
5.94,61.4,1,4,70.7,42.7,0,72.6,1,7.38
7.63,94.4,0,3,92.4,78.6,8,60.7,1,11.1
8.62,84.7,0,3,85.3,70.4,5,85.2,1,11.11
7.29,95.4,0,1,76.1,78.9,7,55.2,1,9.74
9.19,96.9,2,4,99.4,76.7,6,58.8,1,14.59
6.12,66.7,0,0,53.1,75.8,3,69.0,0,
6.77,93.4,3,4,66.4,62.3,8,50.8,1,10.97
7.03,89.7,2,1,49.1,62.3,3,63.4,1,8.81
8.92,68.4,0,5,82.1,57.3,2,74.1,1,9.22
8.97,56.5,0,4,93.9,71.5,7,64.2,1,11.12
5.28,91.5,0,5,95.2,61.5,3,74.0,1,7.87
9.15,63.1,1,3,79.4,91.9,2,85.7,1,11.12
9.75,89.1,1,4,100.0,73.7,3,63.3,1,12.0
5.47,69.6,2,0,62.4,43.9,7,47.0,0,
7.12,76.7,2,1,69.8,82.4,0,47.2,1,10.99
9.12,71.9,3,5,100.0,86.1,1,47.5,1,15.24
9.54,60.3,1,2,59.4,58.1,6,72.3,1,10.16
7.86,62.8,1,5,89.2,83.8,1,64.4,1,9.17
8.12,67.4,1,2,81.8,68.9,1,48.7,1,10.16
7.75,80.8,0,5,82.1,79.2,6,74.0,1,10.82
7.08,80.7,0,0,57.2,43.0,8,71.1,1,8.55
